-5757,5550,-3918
-5664,5773,-3663
-5205,5441,-2461
-4438,4626,-975
-3633,3590,27
-3064,2772,302
-2777,2307,-16
-2652,2120,-644
-2581,2146,-1241
-2518,2293,-1614
-2388,2372,-1833
-2120,2231,-1889
-1713,1906,-1729
-1249,1488,-1398
-908,1141,-1107
-731,922,-968
-556,707,-917
-388,503,-938
-331,478,-1029
-369,554,-1203
-10875,-4554,-10839
-10444,-5655,-5528
-9250,-5720,769
-7954,-5561,5630
-6445,-5741,9367
-4604,-6254,12184
-2453,-6931,13970
894,-7538,14059
5238,-7590,12559
10020,-6822,9932
14250,-5393,7077
15888,-3310,2394
14615,-771,-3560
12600,2231,-7929
11017,4655,-9779
9510,5539,-9402
7898,5101,-8281
6472,3973,-6755
5308,2604,-4964
4355,1220,-3290
3593,-33,-1997
3092,-925,-1055
2788,-1439,-544
2658,-1568,-636
2712,-1364,-1000
2931,-958,-1359
3273,-519,-1677
3658,-136,-1852
4022,127,-1871
4386,273,-1792
4738,269,-1569
5115,138,-1110
5546,-62,-292
5839,-370,938
5775,-866,2313
5209,-1537,3535
4108,-2246,4514
2639,-2946,5107
937,-3477,5292
-1041,-3835,5234
9076,-4683,-1491
9733,-5095,-292
9372,-5168,1441
7533,-4436,3735
4580,-2809,6023
1908,-1183,7358
445,210,8216
-17,1045,8975
321,1250,9437
857,467,8771
950,-491,7244
457,-979,5532
-650,-707,3787
-2052,121,2049
-3607,1477,493
-5150,3124,-815
-6587,4726,-1897
-7931,6183,-2479
-8842,7035,-2209
-9062,6971,-1278
-8776,6283,-387
-8680,5652,-29
-9090,5523,33
-10236,6087,401
-11367,6442,1648
-12093,6113,3810
-11562,4354,6645
-9646,1499,8863
-6751,-1724,9988
-2775,-4906,9897
1539,-7250,8837
4951,-8231,6936
7030,-8098,4113
7993,-7230,1311
7929,-5901,-675
7230,-4534,-1601
6279,-3481,-1441
5327,-2838,-486
4712,-2539,501
4557,-2419,1041
-9036,-3257,-2242
-8198,-3374,2284
-6900,-3562,6033
-5326,-3976,8881
-3509,-4596,11001
-1524,-5757,12528
720,-7712,13540
3837,-9338,13111
7368,-10261,11128
10557,-9995,8314
12477,-8351,4590
12572,-5292,-631
11565,-1273,-5272
10398,2512,-8002
9730,5268,-9527
9341,6558,-10067
9133,6718,-9822
8918,6161,-9430
8608,5409,-9626
8225,4599,-10517
8157,3793,-11306
8845,2983,-11167
10199,2098,-10059
11900,1090,-7726
13352,-39,-3781
13441,-1712,292
11827,-3789,3956
9037,-5660,6828
5730,-7055,8769
